term,df,idf
jarak,5,5.7777219511862405
tempuh,4,5.960043507980195
pendek,1,6.8763342398543505
please,2,6.470869131746186
rangin,1,6.8763342398543505
boncos,1,6.8763342398543505
pribadi,3,6.183187059294405
test,1,6.8763342398543505
minim,1,6.8763342398543505
benernya,1,6.8763342398543505
waktu,1,6.8763342398543505
stock,1,6.8763342398543505
lempar,1,6.8763342398543505
merah,2,6.470869131746186
storage,1,6.8763342398543505
upgrade,3,6.183187059294405
gampang,2,6.470869131746186
booster,2,6.470869131746186
hemat,5,5.7777219511862405
akal,4,5.960043507980195
begini,14,4.861431219312086
tipu,1,6.8763342398543505
asu,1,6.8763342398543505
pertalulit,1,6.8763342398543505
celaka,2,6.470869131746186
buang,3,6.183187059294405
comberan,1,6.8763342398543505
narasi,2,6.470869131746186
gula,5,5.7777219511862405
gegaya,1,6.8763342398543505
antisipasi,2,6.470869131746186
paling,7,5.49003987873446
ringan,3,6.183187059294405
cium,1,6.8763342398543505
bau,2,6.470869131746186
sengat,1,6.8763342398543505
alkohol,7,5.49003987873446
fixed,1,6.8763342398543505
mending,5,5.7777219511862405
langsung,14,4.861431219312086
mix,1,6.8763342398543505
tap,1,6.8763342398543505
bp,7,5.49003987873446
signifikan,4,5.960043507980195
fuel,22,4.433987204485146
pump,1,6.8763342398543505
karbu,1,6.8763342398543505
stroke,1,6.8763342398543505
sangat,11,5.084574770626295
pengaruh,7,5.49003987873446
lumas,2,6.470869131746186
kering,1,6.8763342398543505
piston,1,6.8763342398543505
macet,1,6.8763342398543505
bogor,1,6.8763342398543505
akr,3,6.183187059294405
sedia,4,5.960043507980195
runut,1,6.8763342398543505
kuota,5,5.7777219511862405
amin,1,6.8763342398543505
simpul,1,6.8763342398543505
awal,5,5.7777219511862405
drama,1,6.8763342398543505
curiga,2,6.470869131746186
mesti,2,6.470869131746186
prosedur,2,6.470869131746186
datang,6,5.6235712713589825
adaktif,1,6.8763342398543505
terang,1,6.8763342398543505
asa,7,5.49003987873446
bakal,14,4.861431219312086
moga,2,6.470869131746186
mandiri,15,4.796892698174515
tani,11,5.084574770626295
semangat,1,6.8763342398543505
bumi,6,5.6235712713589825
bro,2,6.470869131746186
timbul,6,5.6235712713589825
beban,3,6.183187059294405
negeri,14,4.861431219312086
untung,10,5.171586147615925
shell,11,5.084574770626295
dkk,2,6.470869131746186
masak,1,6.8763342398543505
ditayangken,1,6.8763342398543505
ajar,3,6.183187059294405
pintar,1,6.8763342398543505
sesat,2,6.470869131746186
kelompok,1,6.8763342398543505
kalah,1,6.8763342398543505
pilpres,1,6.8763342398543505
korban,1,6.8763342398543505
program,5,5.7777219511862405
biang,2,6.470869131746186
kerok,2,6.470869131746186
patra,5,5.7777219511862405
niaga,5,5.7777219511862405
tegas,15,4.796892698174515
jawa,4,5.960043507980195
timur,1,6.8763342398543505
dirut,1,6.8763342398543505
ega,3,6.183187059294405
ikhlas,1,6.8763342398543505
putra,1,6.8763342398543505
penasaran,1,6.8763342398543505
kondisi,5,5.7777219511862405
komponent,1,6.8763342398543505
heran,3,6.183187059294405
dar,2,6.470869131746186
bilang,16,4.73626807635808
mana,9,5.26689632742025
kamu,21,4.47843896705598
pea,1,6.8763342398543505
oiii,1,6.8763342398543505
internetmu,1,6.8763342398543505
bagus,10,5.171586147615925
pertamini,1,6.8763342398543505
wajar,2,6.470869131746186
keluh,7,5.49003987873446
belakang,4,5.960043507980195
mangan,1,6.8763342398543505
hindar,2,6.470869131746186
plat,1,6.8763342398543505
cemar,1,6.8763342398543505
kala,1,6.8763342398543505
hujan,4,5.960043507980195
deras,1,6.8763342398543505
barang,3,6.183187059294405
pesan,2,6.470869131746186
sakit,1,6.8763342398543505
jiwa,1,6.8763342398543505
makanya,7,5.49003987873446
ngegas,1,6.8763342398543505
maksa,1,6.8763342398543505
ber,1,6.8763342398543505
kencang,1,6.8763342398543505
tanggung,2,6.470869131746186
maaf,2,6.470869131746186
jiaaah,1,6.8763342398543505
komisaris,1,6.8763342398543505
sibuk,3,6.183187059294405
urus,4,5.960043507980195
mantan,1,6.8763342398543505
kena,5,5.7777219511862405
sabotase,1,6.8763342398543505
selidik,1,6.8763342398543505
masaih,1,6.8763342398543505
teknologi,9,5.26689632742025
flex,6,5.6235712713589825
amit,1,6.8763342398543505
ndasnya,1,6.8763342398543505
atos,1,6.8763342398543505
entar,1,6.8763342398543505
sasar,1,6.8763342398543505
makek,1,6.8763342398543505
bajing,3,6.183187059294405
layak,5,5.7777219511862405
jujuran,1,6.8763342398543505
putus,1,6.8763342398543505
makna,1,6.8763342398543505
terima,5,5.7777219511862405
skema,1,6.8763342398543505
busuk,6,5.6235712713589825
komplot,1,6.8763342398543505
meski,24,4.350605595546096
ngebabat,1,6.8763342398543505
hutan,1,6.8763342398543505
umur,1,6.8763342398543505
mayoritas,4,5.960043507980195
armada,1,6.8763342398543505
model,9,5.26689632742025
rentan,2,6.470869131746186
tua,6,5.6235712713589825
alias,4,5.960043507980195
molekul,1,6.8763342398543505
waspada,2,6.470869131746186
dadak,2,6.470869131746186
kenapa,10,5.171586147615925
temu,5,5.7777219511862405
ujung,2,6.470869131746186
perkara,2,6.470869131746186
pantas,2,6.470869131746186
aduh,2,6.470869131746186
mendagri,1,6.8763342398543505
minta,10,5.171586147615925
beras,1,6.8763342398543505
bijimana,1,6.8763342398543505
kalian,4,5.960043507980195
update,4,5.960043507980195
oita,1,6.8763342398543505
ramai,8,5.372256843078077
wajib,42,3.8082813047207336
admin,2,6.470869131746186
